sim,n_respondents,pct_categories_met,mean_time,pct_over_budget,min_qualified,total_assignments
0,2000,29.87012987012987,355.66939685221007,23.7,0,26538
0,2500,44.15584415584416,355.802088763816,23.52,0,31350
0,3000,53.246753246753244,357.72897451927327,24.46666666666667,0,35124
0,3500,62.33766233766234,355.69190502434003,23.914285714285715,0,38247
0,4000,70.12987012987013,356.10356851035,22.8,0,41748
0,4500,80.51948051948052,356.56554592323334,22.933333333333334,0,44629
0,5000,87.01298701298701,358.843703796086,20.880000000000003,0,47285
0,5500,98.7012987012987,357.94675375975635,19.69090909090909,65,50860
0,6000,100.0,357.5226122090734,20.166666666666664,205,57793
0,6500,100.0,355.8752642276631,20.307692307692307,201,65293
0,7000,100.0,356.60102399228714,21.15714285714286,205,72793
0,7500,100.0,356.51576450209194,20.733333333333334,204,80293
0,8000,100.0,356.87719397182497,21.0125,203,87793
0,8500,98.7012987012987,357.17399605076355,21.41176470588235,197,95293
0,9000,100.0,357.60194987204994,21.81111111111111,208,102793
0,9500,100.0,356.1071830643516,21.294736842105262,201,110293
0,10000,100.0,357.506732852452,21.990000000000002,209,117793
0,10500,100.0,357.75390932065716,21.666666666666668,207,125293
0,11000,100.0,359.41881800602545,22.627272727272725,208,132793
0,11500,100.0,360.2433515385061,23.130434782608695,211,140293
0,12000,100.0,357.8597822079075,21.983333333333334,206,147793
1,2000,31.16883116883117,348.14294855593005,21.8,0,26538
1,2500,41.55844155844156,346.87347188842,22.12,0,31350
1,3000,53.246753246753244,349.65993771034,22.833333333333332,0,35124
1,3500,62.33766233766234,347.7336263505714,21.571428571428573,0,38247
1,4000,68.83116883116884,349.31485406839744,21.4,0,41748
1,4500,80.51948051948052,351.0638227979534,21.022222222222222,0,44629
1,5000,87.01298701298701,353.81200367357,20.72,0,47285
1,5500,98.7012987012987,348.9626628794927,18.6,63,50860
1,6000,100.0,350.6448323169133,19.383333333333333,201,57793
1,6500,98.7012987012987,353.30971946716153,19.707692307692305,187,65293
1,7000,98.7012987012987,350.00543620897,19.385714285714286,199,72793
1,7500,100.0,351.86519907226005,20.173333333333332,201,80293
1,8000,100.0,353.29640303500497,20.3125,204,87793
1,8500,100.0,353.58440342941174,20.811764705882354,205,95293
1,9000,97.40259740259741,350.80934977302667,20.8,198,102793
1,9500,100.0,353.14514710970104,20.873684210526317,202,110293
1,10000,98.7012987012987,354.14507305917,21.16,194,117793
1,10500,100.0,352.8007923872058,21.4,207,125293
1,11000,98.7012987012987,352.95078372980004,21.527272727272727,196,132793
1,11500,98.7012987012987,353.9677174393721,21.530434782608694,199,140293
1,12000,98.7012987012987,353.27227858718254,21.741666666666667,194,147793
2,2000,31.16883116883117,358.31210794553,24.85,0,26538
2,2500,44.15584415584416,356.773865887284,23.400000000000002,0,31350
2,3000,54.54545454545454,359.5939626840367,25.466666666666665,0,35124
2,3500,62.33766233766234,358.45596700863143,24.114285714285714,0,38247
2,4000,68.83116883116884,359.6351035344875,22.6,0,41748
2,4500,79.22077922077922,356.14284897170444,21.511111111111113,0,44629
2,5000,87.01298701298701,360.746608166828,20.880000000000003,0,47285
2,5500,98.7012987012987,359.3781062689818,19.90909090909091,64,50860
2,6000,100.0,360.17008515148996,20.733333333333334,206,57793
2,6500,100.0,358.82850568933384,20.43076923076923,202,65293
2,7000,100.0,358.43340682050285,20.842857142857145,203,72793
2,7500,100.0,359.0781949667187,21.16,202,80293
2,8000,100.0,357.32248278938124,22.075,210,87793
2,8500,100.0,358.06601612819406,21.88235294117647,205,95293
2,9000,100.0,357.4243229150922,21.2,209,102793
2,9500,100.0,358.7174356632305,22.431578947368422,204,110293
2,10000,100.0,357.321527533879,21.94,207,117793
2,10500,100.0,359.5915943319676,22.63809523809524,203,125293
2,11000,100.0,358.2834838393546,22.472727272727273,211,132793
2,11500,100.0,357.8631232217965,22.8,206,140293
2,12000,100.0,359.3270425595816,23.141666666666666,202,147793
3,2000,31.16883116883117,356.87761018198995,24.65,0,26538
3,2500,42.857142857142854,354.43675492248394,23.48,0,31350
3,3000,54.54545454545454,358.4290041712566,23.200000000000003,0,35124
3,3500,62.33766233766234,357.03024505894,23.57142857142857,0,38247
3,4000,70.12987012987013,357.0142345410675,23.125,0,41748
3,4500,80.51948051948052,356.03330463517335,22.2,0,44629
3,5000,85.71428571428571,356.269236775984,20.599999999999998,0,47285
3,5500,98.7012987012987,356.47125460653274,19.945454545454545,64,50860
3,6000,100.0,355.76069695876834,19.53333333333333,202,57793
3,6500,100.0,355.84729062312,20.784615384615385,202,65293
3,7000,100.0,355.9784562982029,20.442857142857143,205,72793
3,7500,100.0,355.1105416604253,20.76,213,80293
3,8000,100.0,357.47319383749505,21.775,208,87793
3,8500,100.0,356.65966929747884,21.30588235294118,204,95293
3,9000,100.0,356.2559557639111,21.544444444444444,202,102793
3,9500,100.0,356.52659009864317,21.821052631578947,201,110293
3,10000,100.0,357.264624628089,21.88,205,117793
3,10500,98.7012987012987,356.72792525383716,21.80952380952381,196,125293
3,11000,100.0,358.59741710346634,22.290909090909093,214,132793
3,11500,100.0,358.9852742357069,22.782608695652172,210,140293
3,12000,100.0,358.73526677178586,22.491666666666667,202,147793
4,2000,32.467532467532465,359.3398225799,25.0,0,26538
4,2500,44.15584415584416,358.19863305646,24.759999999999998,0,31350
4,3000,54.54545454545454,355.36457232735336,22.233333333333334,0,35124
4,3500,62.33766233766234,355.0323085961829,23.228571428571428,0,38247
4,4000,68.83116883116884,357.49269186289996,22.8,0,41748
4,4500,80.51948051948052,357.50886933310886,22.177777777777777,0,44629
