sim,n_respondents,pct_categories_met,mean_time,pct_over_budget,min_qualified,total_assignments
0,2000,24.675324675324674,350.876242984745,22.45,0,23766
0,2500,32.467532467532465,353.99765184134,22.96,0,28975
0,3000,42.857142857142854,355.8683094348833,23.166666666666664,0,33546
0,3500,55.84415584415584,352.9479053245514,22.6,0,37693
0,4000,67.53246753246754,358.2401301679474,22.925,0,41120
0,4500,76.62337662337663,356.00468399930224,22.0,0,44116
0,5000,88.31168831168831,354.66532931065,20.44,0,47206
0,5500,96.1038961038961,355.4024062106218,19.945454545454545,112,50319
0,6000,100.0,355.1215626016617,20.3,211,55993
0,6500,100.0,355.1579330337016,20.692307692307693,202,62007
0,7000,100.0,352.8033429952328,20.085714285714285,211,67987
0,7500,100.0,353.8769238651026,20.626666666666665,208,74100
0,8000,98.7012987012987,355.5059827585312,21.45,193,80214
0,8500,98.7012987012987,353.98140339550827,21.11764705882353,198,86269
0,9000,100.0,355.6275178142489,22.155555555555555,203,92294
0,9500,100.0,355.36252487819263,21.757894736842108,203,98490
0,10000,100.0,354.27170219031393,21.759999999999998,202,104570
0,10500,100.0,354.9303707059191,21.857142857142858,200,110582
0,11000,100.0,356.06184303962726,22.181818181818183,209,116637
0,11500,100.0,354.1618660274904,22.06086956521739,208,122852
0,12000,100.0,355.3100608564216,22.0,207,128846
1,2000,24.675324675324674,344.76702325128,20.8,0,23771
1,2500,31.16883116883117,348.322767518976,21.52,0,29057
1,3000,46.75324675324675,347.4065968919,22.566666666666666,0,33729
1,3500,58.44155844155844,352.30387248532566,22.085714285714285,0,37861
1,4000,67.53246753246754,347.249668193055,20.8,0,41376
1,4500,72.72727272727273,351.27227436664884,20.91111111111111,0,44390
1,5000,85.71428571428571,350.69420267436203,19.580000000000002,0,47469
1,5500,97.40259740259741,351.2987114881346,19.563636363636363,97,50243
1,6000,100.0,349.41729659093664,19.25,203,56164
1,6500,100.0,349.8333363604815,19.784615384615385,209,62085
