sim,n_respondents,pct_categories_met,mean_time,pct_over_budget,min_qualified,total_assignments
0,2000,0.0,359.16414720002996,18.25,30,16366
0,2500,1.2987012987012987,355.28027231560407,18.08,35,20428
0,3000,11.688311688311687,353.32138974021,18.099999999999998,39,24447
0,3500,23.376623376623375,355.62640707364,18.628571428571426,48,28496
0,4000,37.66233766233766,356.4398061338725,18.9,59,32601
0,4500,45.45454545454545,357.09566270889775,18.955555555555556,64,36648
0,5000,58.44155844155844,357.31369562554204,18.92,67,40720
0,5500,67.53246753246754,357.8583293371418,19.03636363636364,78,44815
0,6000,77.92207792207793,357.64923555161664,18.916666666666668,87,48896
0,6500,83.11688311688312,356.7571186006754,18.676923076923078,96,52997
0,7000,85.71428571428571,356.14605975882284,18.65714285714286,101,57067
0,7500,90.9090909090909,355.91016231954,18.68,105,61177
0,8000,94.8051948051948,356.2498364186,18.8875,110,65297
0,8500,97.40259740259741,356.28462441645763,18.91764705882353,120,69350
0,9000,97.40259740259741,355.91143162744777,18.922222222222224,125,73423
0,9500,97.40259740259741,355.6302854702621,18.936842105263157,130,77495
0,10000,98.7012987012987,355.847852495399,18.92,132,81571
0,10500,98.7012987012987,355.43538175646285,18.83809523809524,140,85664
0,11000,98.7012987012987,355.96058101135725,18.981818181818184,150,89728
0,11500,98.7012987012987,356.4957752067226,19.086956521739133,158,93773
0,12000,98.7012987012987,356.65407464901995,19.108333333333334,162,97845
1,2000,0.0,351.705268797345,18.15,31,16354
1,2500,1.2987012987012987,352.34952808639605,18.240000000000002,42,20468
1,3000,10.38961038961039,350.73443352268,17.833333333333336,47,24546
1,3500,20.77922077922078,351.45482572301717,17.65714285714286,59,28669
1,4000,36.36363636363637,350.300729119025,17.424999999999997,64,32775
1,4500,42.857142857142854,350.92156991931114,17.555555555555554,75,36853
1,5000,57.14285714285714,350.174891876886,17.5,86,40938
1,5500,64.93506493506493,350.84052759902,17.854545454545452,91,45029
1,6000,79.22077922077922,351.456096216015,18.133333333333333,100,49162
1,6500,83.11688311688312,351.68814898350155,18.246153846153845,102,53299
1,7000,88.31168831168831,351.60786190059434,18.2,111,57385
1,7500,90.9090909090909,352.28594517359465,18.360000000000003,121,61515
1,8000,93.5064935064935,352.83622795871497,18.5,129,65600
1,8500,97.40259740259741,352.75400967211056,18.494117647058825,139,69642
1,9000,97.40259740259741,352.2835535539178,18.444444444444443,142,73760
1,9500,97.40259740259741,351.9573916766368,18.336842105263155,147,77878
1,10000,97.40259740259741,351.75167713862,18.27,155,81881
1,10500,97.40259740259741,351.7196417670143,18.342857142857145,158,85892
1,11000,98.7012987012987,352.6221930777582,18.554545454545455,167,89970
1,11500,98.7012987012987,352.9055703110574,18.582608695652176,177,94034
1,12000,98.7012987012987,352.8014104090175,18.583333333333332,184,98078
2,2000,0.0,359.44549655086,20.0,39,16382
2,2500,1.2987012987012987,359.285115118816,19.88,53,20462
2,3000,10.38961038961039,358.8036578281666,19.366666666666667,59,24540
2,3500,23.376623376623375,359.5978080144543,19.57142857142857,65,28635
2,4000,36.36363636363637,358.76261057351,19.425,72,32755
2,4500,45.45454545454545,359.0773959872111,19.466666666666665,76,36879
2,5000,59.74025974025974,359.16050492226395,19.56,81,40945
2,5500,71.42857142857143,359.36792846297453,19.69090909090909,87,45030
2,6000,77.92207792207793,359.42001134407496,19.616666666666667,99,49106
2,6500,83.11688311688312,359.61119782515846,19.66153846153846,110,53183
2,7000,87.01298701298701,359.6931143944786,19.6,113,57258
2,7500,92.20779220779221,359.65344410292136,19.68,121,61286
2,8000,96.1038961038961,359.3911513111775,19.5875,126,65381
2,8500,97.40259740259741,359.19122882841646,19.68235294117647,133,69472
2,9000,97.40259740259741,359.04125685617,19.655555555555555,144,73549
2,9500,97.40259740259741,358.59568273745793,19.63157894736842,155,77574
2,10000,97.40259740259741,358.78198909466,19.689999999999998,162,81662
2,10500,98.7012987012987,358.58239621965714,19.676190476190474,168,85801
2,11000,98.7012987012987,358.3641386121773,19.60909090909091,176,89919
2,11500,98.7012987012987,357.97354226881305,19.591304347826085,185,93978
2,12000,98.7012987012987,357.5227862579591,19.466666666666665,191,98052
3,2000,0.0,354.130371343785,18.8,26,16317
